Year,Region Name,Country Code,Country Name,Total Number of Deaths,Number of Deaths Per 100000 of Population,World Bank Classification Region,World Bank Income Classification,Income Classification Code
2015,North America and the Caribbean,GRD,Grenada,0,0,Latin America & Caribbean,Upper middle income,UMIC
2015,North America and the Caribbean,GLP,Guadeloupe,0,0,,Not Classified,
2015,North America and the Caribbean,MTQ,Martinique,0,0,,Not Classified,
2015,North America and the Caribbean,PRI,Puerto Rico,0,0,Latin America & Caribbean,High income,HIC
2015,North America and the Caribbean,KNA,Saint Kitts and Nevis,1,0,Latin America & Caribbean,High income,HIC
2015,North America and the Caribbean,LCA,Saint Lucia,1,43,Latin America & Caribbean,Upper middle income,UMIC
2015,North America and the Caribbean,VCT,Saint Vincent and the Grenadines,0,0,Latin America & Caribbean,Upper middle income,UMIC
2015,North America and the Caribbean,TTO,Trinidad and Tobago,0,0,Latin America & Caribbean,High income,HIC
2015,North America and the Caribbean,USA,United States of America,17,0.3,North America,High income,HIC
2015,Oceania,AUS,Australia,0,0,East Asia & Pacific,High income,HIC
2015,Oceania,NZL,New Zealand,0,0,East Asia & Pacific,High income,HIC
2016,Africa,EGY,Egypt,326,10,Middle East & North Africa,Lower middle income,LMIC
2016,Africa,MUS,Mauritius,1,8.3,Sub-Saharan Africa,Upper middle income,UMIC
2016,Asia,ARM,Armenia,0,0,Europe & Central Asia,Upper middle income,UMIC
2016,Africa,MYT,Mayotte,0,0,,Not Classified,
2016,Africa,REU,Reunion,2,8.9,,Not Classified,
2016,Africa,SYC,Seychelles,0,0,Sub-Saharan Africa,High income,HIC
2016,Asia,BRN,Brunei Darussalam,0,0,East Asia & Pacific,High income,HIC
2016,Africa,ZAF,South Africa,1226,74.5,Sub-Saharan Africa,Upper middle income,UMIC
2016,Asia,CYP,Cyprus,0,0,Europe & Central Asia,High income,HIC
2016,Asia,HKG,"China, Hong Kong SAR",0,0,East Asia & Pacific,High income,HIC
2016,Asia,GEO,Georgia,3,5.2,Europe & Central Asia,Upper middle income,UMIC
2016,Asia,IRN,Iran (Islamic Republic of),54,3.2,Middle East & North Africa,Upper middle income,UMIC
2016,Asia,IRQ,Iraq,43,3.4,Middle East & North Africa,Upper middle income,UMIC
2016,Asia,ISR,Israel,0,0,Middle East & North Africa,High income,HIC
2016,Asia,JPN,Japan,2,0.1,East Asia & Pacific,High income,HIC
2016,Asia,JOR,Jordan,1,0.4,Middle East & North Africa,Lower middle income,LMIC
2016,Asia,KAZ,Kazakhstan,6,0.6,Europe & Central Asia,Upper middle income,UMIC
2016,Asia,KOR,Republic of Korea,0,0,East Asia & Pacific,High income,HIC
2016,Asia,KWT,Kuwait,0,0,Middle East & North Africa,High income,HIC
2016,Asia,KGZ,Kyrgyzstan,3,1.5,Europe & Central Asia,Lower middle income,LMIC
2016,Asia,MYS,Malaysia,10,1,East Asia & Pacific,Upper middle income,UMIC
2016,Asia,MDV,Maldives,1,3.3,South Asia,Upper middle income,UMIC
2016,Asia,MNG,Mongolia,2,2.5,East Asia & Pacific,Upper middle income,UMIC
2016,Asia,OMN,Oman,1,1.1,Middle East & North Africa,High income,HIC
2016,Asia,PHL,Philippines,454,11.7,East Asia & Pacific,Lower middle income,LMIC
2016,Asia,QAT,Qatar,0,0,Middle East & North Africa,High income,HIC
2016,Asia,SGP,Singapore,0,0,East Asia & Pacific,High income,HIC
2016,Asia,TJK,Tajikistan,11,2.7,Europe & Central Asia,Lower middle income,LMIC
2016,Asia,TUR,Turkey,47,2.3,Europe & Central Asia,Upper middle income,UMIC
2016,Asia,THA,Thailand,6,0.9,East Asia & Pacific,Upper middle income,UMIC
2016,Asia,UZB,Uzbekistan,8,0.4,Europe & Central Asia,Lower middle income,LMIC
2016,Central and South America,ARG,Argentina,19,1.8,Latin America & Caribbean,Upper middle income,UMIC
2016,Central and South America,BLZ,Belize,0,0,Latin America & Caribbean,Upper middle income,UMIC
2016,Central and South America,BRA,Brazil,333,8.1,Latin America & Caribbean,Upper middle income,UMIC
2016,Central and South America,CHL,Chile,3,0.3,Latin America & Caribbean,High income,HIC
2016,Central and South America,COL,Colombia,363,33,Latin America & Caribbean,Upper middle income,UMIC
2016,Central and South America,CRI,Costa Rica,1,0.3,Latin America & Caribbean,Upper middle income,UMIC
2016,Central and South America,ECU,Ecuador,61,10.8,Latin America & Caribbean,Upper middle income,UMIC
2016,Central and South America,SLV,El Salvador,7,3.5,Latin America & Caribbean,Upper middle income,UMIC
2016,Central and South America,GUF,French Guiana,0,0,,Not Classified,
2016,Central and South America,GTM,Guatemala,306,48.6,Latin America & Caribbean,Upper middle income,UMIC
2016,Central and South America,GUY,Guyana,6,28.3,Latin America & Caribbean,High income,HIC
2016,Central and South America,MEX,Mexico,393,12.4,Latin America & Caribbean,Upper middle income,UMIC
2016,Central and South America,NIC,Nicaragua,53,33.5,Latin America & Caribbean,Lower middle income,LMIC
2016,Central and South America,PAN,Panama,47,28.5,Latin America & Caribbean,High income,HIC
2016,Central and South America,PRY,Paraguay,57,33.6,Latin America & Caribbean,Upper middle income,UMIC
2016,Central and South America,PER,Peru,80,9.7,Latin America & Caribbean,Upper middle income,UMIC
2016,Central and South America,URY,Uruguay,4,6.6,Latin America & Caribbean,High income,HIC
2016,Central and South America,VEN,Venezuela (Bolivarian Republic of),455,63.3,Latin America & Caribbean,Upper middle income,UMIC until 2021
2016,Europe,AUT,Austria,0,0,Europe & Central Asia,High income,HIC
2016,Europe,BEL,Belgium,1,0.2,Europe & Central Asia,High income,HIC
2016,Europe,BIH,Bosnia and Herzegovina,0,0,Europe & Central Asia,Upper middle income,UMIC
2016,Europe,BGR,Bulgaria,1,1.5,Europe & Central Asia,High income,HIC
2016,Europe,HRV,Croatia,0,0,Europe & Central Asia,High income,HIC
2016,Europe,CZE,Czechia,0,0,Europe & Central Asia,High income,HIC
2016,Europe,DNK,Denmark,0,0,Europe & Central Asia,High income,HIC
2016,Europe,EST,Estonia,0,0,Europe & Central Asia,High income,HIC
2016,Europe,FIN,Finland,0,0,Europe & Central Asia,High income,HIC
2016,Europe,FRA,France,0,0,Europe & Central Asia,High income,HIC
2016,Europe,DEU,Germany,1,0,Europe & Central Asia,High income,HIC
2016,Europe,GRC,Greece,1,0.3,Europe & Central Asia,High income,HIC
2016,Europe,HUN,Hungary,2,0.5,Europe & Central Asia,High income,HIC
2016,Europe,ISL,Iceland,0,0,Europe & Central Asia,High income,HIC
2016,Europe,IRL,Ireland,0,0,Europe & Central Asia,High income,HIC
2016,Europe,ITA,Italy,0,0,Europe & Central Asia,High income,HIC
2016,Europe,LVA,Latvia,0,0,Europe & Central Asia,High income,HIC
2016,Europe,LTU,Lithuania,0,0,Europe & Central Asia,High income,HIC
2016,Europe,LUX,Luxembourg,0,0,Europe & Central Asia,High income,HIC
2016,Europe,MLT,Malta,0,0,Middle East & North Africa,High income,HIC
2016,Europe,NLD,Netherlands,1,0.6,Europe & Central Asia,High income,HIC
2016,Europe,MKD,North Macedonia,0,0,Europe & Central Asia,Upper middle income,UMIC
2016,Europe,NOR,Norway,0,0,Europe & Central Asia,High income,HIC
2016,Europe,POL,Poland,0,0,Europe & Central Asia,High income,HIC
2016,Europe,PRT,Portugal,0,0,Europe & Central Asia,High income,HIC
2016,Europe,MDA,Republic of Moldova,0,0,Europe & Central Asia,Upper middle income,UMIC
2016,Europe,ROU,Romania,5,1,Europe & Central Asia,High income,HIC
2016,Europe,RUS,Russian Federation,28,0.8,Europe & Central Asia,High income,HIC
2016,Europe,SRB,Serbia,0,0,Europe & Central Asia,Upper middle income,UMIC
2016,Europe,SVK,Slovakia,1,1.7,Europe & Central Asia,High income,HIC
2016,Europe,SVN,Slovenia,0,0,Europe & Central Asia,High income,HIC
2016,Europe,ESP,Spain,1,0.2,Europe & Central Asia,High income,HIC
2016,Europe,SWE,Sweden,0,0,Europe & Central Asia,High income,HIC
2016,Europe,CHE,Switzerland,1,1.2,Europe & Central Asia,High income,HIC
2016,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,4,0.3,Europe & Central Asia,High income,HIC
2016,North America and the Caribbean,ATG,Antigua and Barbuda,0,0,Latin America & Caribbean,High income,HIC
2016,North America and the Caribbean,BHS,Bahamas,0,0,Latin America & Caribbean,High income,HIC
2016,North America and the Caribbean,CAN,Canada,0,0,North America,High income,HIC
2016,North America and the Caribbean,CUB,Cuba,3,1.7,Latin America & Caribbean,Upper middle income,UMIC
2016,North America and the Caribbean,DMA,Dominica,0,0,Latin America & Caribbean,Upper middle income,UMIC
2016,North America and the Caribbean,DOM,Dominican Republic,41,15.4,Latin America & Caribbean,Upper middle income,UMIC
2016,North America and the Caribbean,GRD,Grenada,0,0,Latin America & Caribbean,Upper middle income,UMIC
2016,North America and the Caribbean,GLP,Guadeloupe,0,0,,Not Classified,
2016,North America and the Caribbean,MTQ,Martinique,0,0,,Not Classified,
2016,North America and the Caribbean,PRI,Puerto Rico,1,4.3,Latin America & Caribbean,High income,HIC
2016,North America and the Caribbean,KNA,Saint Kitts and Nevis,0,0,Latin America & Caribbean,High income,HIC
2016,North America and the Caribbean,LCA,Saint Lucia,0,0,Latin America & Caribbean,Upper middle income,UMIC
2016,North America and the Caribbean,VCT,Saint Vincent and the Grenadines,0,0,Latin America & Caribbean,Upper middle income,UMIC
2016,North America and the Caribbean,TTO,Trinidad and Tobago,0,0,Latin America & Caribbean,High income,HIC
2016,North America and the Caribbean,USA,United States of America,9,0.2,North America,High income,HIC
